Name,Class 10th Percentage (%),Class 12th Percentage (%),Mathematics-I [T],Applied Physics-I [T],Applied Chemistry [T],Communication Skills [T],Applied Physics-I [P],Applied Chemistry [P],Communication Skills [P],Engineering Graphics [P],Engineering Workshop Practice [P],Sports and Yoga [P],Semester-I (SGPA),Mathematics-II [T],Applied Physics-II [T],Introduction to IT Systems [T],Fundamentals of Electrical and Electronics Engineering [T],Engineering Mechanics [T],Applied Physics-II [P],Introduction to IT Systems [P],Fundamentals of Electrical and Electronics Engineering [P],Engineering Mechanics [P],Semester-II (SGPA),Computer Programming [T],Scripting Languages [T],Data Structures [T],Computer System Organisation [T],Algorithms [T],Computer Programming [P],Scripting Languages [P],Data Structures [P],Summer Internship-I,Semester-III (SGPA),Operating Systems [T],Introduction to DBMS [T],Computer Network [T],Software Engineering [T],Web Technologies [T],Operating Systems [P],Introduction to DBMS [P],Computer Networks [P],Web Technologies [P],Minor Project [P],Semester-IV (SGPA),E-Governance [T],IoT [T],Information Security [T],Advance Computer Network [T],Data Sciences [T],Renewable Energy [T],Summer Internship-II,Semester-V (SGPA),Entrepreneurship and Startup [T],Mobile Computing [T],Software Testing [T],Project Management [T],Artificial Intelligence [T],Mobile Computing [P],Software Testing [P],Major Project [P],Seminar,Semester-VI (SGPA),final_cgpa,Information Security [P]
Student_1,79.16,86.24,C+,A,A+,A+,A,A+,B,A+,A+,C,7.71,A,B+,B,A,B,C,C,B,C+,9.3,A,C+,C,A,C,C+,B,A+,B+,7.21,A,B+,B,B+,C+,B,C+,A+,B+,A+,7.9,C,A+,B+,C+,A+,B+,A,6.31,B+,C,B,C,B+,C,B+,A+,B,9.45,,B
Student_2,60.76,92.9,C+,C,A,B,A,A,B,B,B,A+,8.67,C,A+,B+,C,C+,B+,A+,A,C+,9.51,B+,A+,B+,A+,B,B+,A+,C+,A+,7.96,B+,A,A,A+,B+,B+,B,C,A,A+,8.1,B+,C,C,B+,C+,A+,C+,7.9,A,A,B,C+,A,C,A,B,B+,7.71,,A
Student_3,60.2,89.53,C,A,A+,A+,A,B,A,B,A,A,9.2,C+,A,A+,B,A+,C,B+,A+,C,9.1,A,C,B,B+,C,A,C+,C+,A+,8.27,B+,C+,C,C+,C,A,A+,A+,C+,A+,7.2,B,B,C+,C,C+,B,A,8.22,C+,B+,A+,A+,C,C,C,C,C+,6.16,,A+
Student_4,86.05,64.42,A,C,C,C,B,A,B+,C,B+,B,6.96,A,A,C,B+,B,C,C+,C+,A,7.62,C,C+,C+,B+,B,A,A,C,C+,6.31,B,B,C+,C,A+,C,B,A,C,C,7.26,B+,A+,B,C,A+,A,B+,6.21,C,C+,A,C+,B,B,B+,A,A,6.1,,C+
Student_5,63.11,78.8,A+,A,A,C+,C+,A,C+,B,A,A+,8.41,A,A,B+,C,C+,B,C,B,C,7.6,A,B+,C+,A,C+,B,A,B,B+,7.76,C+,B,B,B+,B+,C,A,A+,C,C,8.35,C+,A,C+,A+,C+,B,C,9.8,A,C+,B+,B,C+,A,C,C,C+,8.89,,B
Student_6,70.22,92.82,B,A+,C+,B,A,C+,B+,A,B,C+,7.28,B,A+,A+,B,C+,A+,B+,C+,C,6.65,C+,C+,B,A,A+,B,C+,C+,A+,8.67,A+,A+,B,A,B,A,B,C+,A+,B,9.61,C,B,A+,B+,C,B,C+,9.4,C+,B+,A+,B+,C,A,C+,C,C+,7.93,,C+
Student_7,93.13,93.85,B+,C+,A,A,C,C+,C,B+,A,C+,7.75,A,C,B+,B+,A,B,A,B,C,7.35,C,B+,A+,B,C+,A+,A,B+,A+,6.5,A+,A+,C,A+,C+,A+,C,A,A,A+,7.29,B,A+,A+,C+,A+,C+,C+,8.61,B,C+,B,C+,B,C,C,C,A+,6.62,,B
Student_8,72.3,72.89,A,C,A,B,A,C+,A+,C,B,C+,9.71,B+,B+,B+,A,C,B+,B,C+,A,7.15,A+,A+,C+,A,A,C,C,A+,C+,9.47,A+,C,A,A,C,B+,C+,A,A,B,8.71,A+,A,A,B,C+,B+,B,7.21,B,B+,A,A+,C,A+,B,B+,B,8.46,,C+
Student_9,92.43,71.19,C+,C+,C+,A+,C+,B+,C+,C+,B,B,6.03,B+,A,C+,A+,C+,B+,C+,C,C,7.61,B+,B,A+,C+,B,B,C+,C,B,8.05,A,C,B+,B+,A,A+,B+,A+,B+,C+,8.83,B+,B,B,A+,B+,A+,C+,7.09,C,A,A+,C+,B,C+,A+,A,B,7.78,,C
Student_10,63.43,62.15,B+,C+,C,A+,B+,C+,C,C+,A+,B,8.02,A+,A+,C+,A+,A+,A,A+,A,B,6.61,A+,C+,B+,C+,A,C+,C+,C,B,8.6,A,A,A+,B,A+,B+,C+,A,C+,A+,7.18,B+,C+,A,A+,A+,C+,A+,9.01,A,B,C+,B,A+,A,B+,B,A,7.34,,A
Student_11,63.5,76.47,C,A+,A+,B,A,C,A,C+,B+,B+,9.73,B+,A+,A+,C,B+,C,A,B,B,6.76,A+,A,C,A,A+,A+,A+,A,B+,7.85,A+,C,B+,A+,A+,C,B+,C+,B,B+,9.02,C,B,B+,B+,C+,C,A+,7.93,C,B,C,C,A,A+,A,B,A,6.4,,B
Student_12,61.53,88.75,A,C,C+,B,A+,B+,A,C,A+,C,6.14,C,B+,B+,A+,A+,A,B+,B+,B,9.4,C,C,B,A+,C,C,A,C+,A,7.58,C+,B+,B,B+,B+,C,B+,B+,B+,B,9.73,C,A+,A,A+,C,C,C+,9.74,B,B+,A+,A,C+,A,C+,A+,A+,7.68,,B+
Student_13,70.95,77.22,C,B,C+,B,B+,C,C+,A,A+,A,7.37,A+,B,A+,C+,C,A,B,B+,A,9.25,B+,B+,B+,B,C+,A+,C+,B,A+,9.17,C+,C,C,C,C,B,C,B,C+,B,6.63,B,B,C,A,C,B,A,8.89,A+,B,A+,A+,A,A+,A+,A+,B,6.45,,B+
Student_14,94.73,73.85,C,C,B+,B+,A+,B,C+,C,B,B,9.79,A,B,B,C,B,B+,C+,B,C,8.85,B+,A+,A,B,B,A,A,C,B,9.47,A,C,A+,C+,A,C,A+,C,C,B,7.01,C,A+,C,A+,A,A,C,6.01,C+,C+,A,B,A,B+,B,C,C,6.18,,B
Student_15,72.62,79.6,C,B,B,B+,C+,C,A+,C,A+,B+,8.69,B+,A+,B+,B,A+,C,B,C,B+,7.77,C,A,B,C+,C,C,A+,A+,C+,6.65,A,C+,A,C+,C,A+,B,C,C+,B,6.63,C+,A,C,B,A+,B,C,7.96,A+,B,C+,C+,A,B,B+,C+,B,8.06,,C
Student_16,92.43,68.15,A+,A+,C+,B,B,A+,A+,A,A+,B,6.1,B+,B+,A+,C,B+,B,A+,B,A+,6.99,A,B,A,C,A,A,C,A,A,7.7,C,B+,C,B+,B+,A+,C+,B+,B+,B,6.61,B+,B,C,C+,B,B+,A+,7.29,C+,A,B,C+,A+,B+,A+,B,C,8.19,,B
Student_17,91.33,85.78,A+,C,B,C,A+,A,A,B,B,B+,6.56,C+,B,B,B+,C,B,C,B,C+,6.97,A,A+,B,C,B,C+,C,C,B,7.8,A,C,B,C+,A,C+,A+,A,A,B+,6.51,B,B,A,B,A+,C+,C+,7.75,B+,C,A+,B,C+,A+,C+,A,B,6.43,,B
Student_18,71.56,73.72,B+,B,B,B+,B,B+,A+,A,C+,B,7.92,C+,C,C+,B,B+,A,B+,C,B,8,B+,B,B,B+,C+,C,A+,C,A,9.13,C,A+,C,C,A+,A,B+,C+,A,C,7.9,B+,B,A+,B,A+,A,B,8.69,C,A+,C+,C+,C+,B+,B+,B+,A,8.19,,C
Student_19,82.41,60.7,C+,A,C,A,B+,A+,B+,A,A+,B+,6.71,A+,B+,B+,B+,A,A,B,B,A,6.22,C+,B+,B,B+,C+,B+,B,B,A,6.21,A,C,B,C,A+,C+,C,A,C+,C,7.65,B,A+,C+,C,A,B+,A+,6.79,A,A,C+,B+,A,C+,A,A,C,9.65,,B
Student_20,80.91,93.64,C,A,C,C+,B+,C+,A,B,B+,C+,9.63,B,C,A+,B+,C+,A,B+,A,B,7.09,A+,B+,C,C+,A+,C,A,C+,B,7.52,A+,A,B,C+,B,B,A+,B,C,B,6.29,A,B,C,B+,C+,A,C,7.87,A,B,C,B,C+,B,B,A+,A+,9.03,,A
Student_21,74.78,66.79,C,B+,C,B,A+,C,A+,C+,C+,A,7.38,B+,B+,A+,C,C+,C,A+,B+,A+,7.06,B+,B,A,C,C+,B+,C+,A+,C,6.37,C,B,A+,A,C+,C,C+,C,B,B,8.66,A,B+,A+,A+,A+,B,C,8.18,A,A+,B+,A,C,C,C,C+,C,7.69,,B+
Student_22,84.72,67.55,C,B,A+,C,A+,C+,C,C,A+,B,8.21,C,A,A,A,B,A+,C,C,A+,6.98,A+,B,B+,B+,B,B+,A,C+,A,8.59,A+,C+,B+,A+,B,A+,B+,C,B,C,8.33,B+,C+,B,A,B,C+,A+,7.42,C,B,C+,B+,B+,C+,A,B,B,6.33,,C
Student_23,61.34,65.54,C+,C,B+,B+,A,C,A+,C+,A+,B+,8.81,C,C,C+,A+,C+,B+,A,A,C+,7.82,B,A+,A+,A+,A,A+,C,C+,A,9.48,B+,C+,A+,C,A+,C+,C,A,A+,A+,7.13,A+,A,C+,B+,A,C+,A+,7.78,A,A,A+,B+,A+,B+,C,C+,B+,6.33,,A
Student_24,87.41,80.93,B,B,B+,A+,C+,A+,C,C,B+,C,6.13,A,A,C+,A,B,A+,C+,C,B,9.17,B,A,B,B+,B+,B,B,B+,A+,9.38,A+,B+,B+,A+,C,C+,C+,B,A+,C+,9.36,B+,A+,B,C,B,A+,C,6.1,A+,C,B+,C,C+,A+,B+,B+,B,7.85,,C
Student_25,84.28,70.35,C,B+,C+,C,C,B+,A+,C,B+,B,9.5,B,A,C,A,B,A+,A,A,C,8.68,C+,A+,B+,A+,B,B+,C+,A+,B+,6.12,C+,A,C+,A+,B,C,C+,C+,C+,B+,6.17,A,C+,B,C+,A,B+,A,6.94,C+,B+,C,B+,B,A+,B,A+,C+,6.88,,A
Student_26,71.52,61.59,B,A+,C+,C,B+,A+,C+,B,B,A+,6,B+,A+,B+,C,B+,B,A,C+,C+,7.63,B+,B,C,A+,B+,B,C+,B,C+,6.09,C,A,A,B,C,A,C+,A,C,A+,7.31,B,C+,B+,B,B,C,C,6.27,A+,B,C+,B,A,A,B,A,A,7.17,,C+
Student_27,74.8,60.79,A,B,B,A,C+,A,C,C+,A,A,7.13,C+,B,C,A,B,A,A+,C,B+,6.42,B,B,B+,B,C,A+,B+,B+,A,7.9,B+,C,A,C+,C,C+,C+,A,B+,A,7.52,A,A+,A+,A,A,C+,B+,8.75,A,C,A,C,C+,B,C+,A+,C+,7.3,,C
Student_28,69.8,71.54,B+,C+,A,A,B,A+,A+,B+,B,A,7.88,C+,B,B,A+,A+,B+,C+,B+,B,8.39,C+,A+,A,A,A,B+,C,A,A+,6.06,C,C+,C,B,B+,B+,C+,A,C,A,9.42,C,C,A,B+,A+,B+,B+,8.36,B,C,A+,C+,A+,C,A+,B,A+,9.31,,B+
Student_29,77.17,73.56,B+,B,A+,B+,A,C,B,B+,C+,B,7.36,C+,A,B+,A,C,B+,B,B+,A+,9.66,A+,C+,A+,A,A+,C+,A,A+,B+,6.57,C,A+,B,A,A+,A,B,A+,A,B+,9.27,A+,C+,C+,C,C,A+,B+,7.35,C,B,C+,B,C,B,B,C+,C+,7.39,,B+
Student_30,80.31,69.98,C,B,C,C+,C,C,C,A,B,A+,6.89,C+,C,C,A+,C+,B,B,A,B,6.23,C+,A+,B,A+,B,B,A,A+,B,9.73,B+,A,C+,B,C,C+,B+,B+,A+,C+,8.81,C,C,B+,A+,C+,B+,A,9.07,A,A,A+,A,B,B+,A,B+,B,7.36,,A
Student_31,71.16,78.72,C,C,A,B+,A,C,C+,C,C,A,6.57,B,A,C+,A,C+,C,C+,B+,B,6.13,A+,C+,A,C+,C,C+,A,B,C+,7.28,A,C,B+,B,B,A,B+,A,C+,A,7,B+,C+,A,C,A+,B,C,7.34,A+,A+,A+,B,C,C,B+,C,A,8.38,,B+
Student_32,86.63,69.05,A,A+,A,B,B,B+,C,C+,B,A+,7.47,C,A+,B,C,B,C,A+,B+,B,8.46,B+,B+,A,C+,B+,A+,A+,A+,C,7.07,A+,C+,B+,C+,B,C,B+,C,C+,A,9.78,C+,C,C,A+,B+,A,A,6.63,B,B,C+,A,A+,B,C+,C+,C+,9.2,,B+
Student_33,64.27,76.67,A,C,A,B,B+,B,C,A,A+,A,6.64,C,A,A+,B+,A+,C,B,C+,A,8.73,C+,B+,C+,A,C+,A,C+,C+,A,7.96,B,C+,B+,A,B,C,A+,B,C,A+,8.31,A+,C+,A+,B,A,B+,B+,6.57,A+,B,B+,A+,C+,C,C+,A+,C+,8.58,,C+
Student_34,79.82,90.57,B+,C+,B,B+,A,C,A+,C+,B+,B,6.5,B,B+,C+,C,B,B+,A,B,A,9.37,B+,C+,C+,B,C+,B,A+,C,B,9.14,B,A+,B+,B+,A,C,B+,A,C,A+,9.64,A+,C,B,C,A+,C,A+,7.26,B+,C,A,A+,B,C,A+,C,C+,6.83,,B
Student_35,89.36,83.74,B+,C+,B,A,A,C+,A+,B,C,B,9.54,B+,A,C,B,C+,B+,A,B+,C+,6.24,A+,B,A,C+,B+,B+,C,A+,C+,6.08,A+,C,C+,B+,C+,B+,A+,B,A,B+,8.03,C+,B,A+,A,A+,C+,A,6.08,C+,C+,C+,B+,A,B+,C,B,C+,8.55,,B+
Student_36,67.64,67.66,B+,C,A,C+,B+,A+,A,C+,A+,A,7.3,A,C+,B+,B+,A,B,A,B,C+,7.85,B,A,A,A+,A+,B,B,C+,A,7.52,B+,A,B+,B+,B+,B+,A,C,C+,C+,6.53,B+,A+,C+,B,B,A,C+,9.78,A+,B+,B+,A+,C,A+,C,A+,A+,8.15,,B
Student_37,68.97,65.08,B,B+,C,B+,B,A+,B,A,A,C+,9.25,B,A,C+,A+,A,B,B+,B+,B,7.27,B+,C,C,A+,C,B,A,A,A,7.01,B,C+,B+,B,A,A,A,B,B,B,6.98,C,A+,C+,A,C+,C+,B+,9.01,A+,C,C+,A,C,C,C+,A,C+,7.88,,B+
Student_38,82.63,83.97,C,C+,C,B,C,B,B,A,B,C,7.22,C,C,B+,B+,C+,C,B,A,B,8.88,C,A+,C+,C+,B+,C+,C,C,C+,7.89,A+,C,B+,B,C,A,C,A,B+,B+,6.45,B,A,B,C+,A,A,C+,9.65,A,C,A,C,A+,C,A,A,A,9.55,,A
Student_39,65.07,61.57,B,B+,C,B,A,B,A,A,A+,A+,8.96,B,B,C+,A+,A+,A,C,B+,C,7.43,A+,A+,B+,A+,B,A+,C+,A+,A+,6.28,A+,C+,C,B,B,C+,C+,C+,C+,A,9.79,A,C,C+,C+,C,A,A+,6.97,C,A,A,C,B,C+,C,B+,C,6.41,,B+
Student_40,93.47,61.56,A+,B,A+,B+,B,C+,B,A+,B+,C,9.74,B+,A+,B,B+,A+,C+,B,A,A+,7.83,B+,B+,C+,B+,A,B,A+,C+,C+,8.64,B+,C+,B,B+,A,B+,C,C+,A+,B+,8.46,A,C,C+,C+,A,A,C+,9.71,B+,B+,A,B+,A+,A+,A+,B+,B+,6.3,,A
Student_41,67.41,91.23,A+,B,C,C+,C,C,B+,B,C+,B+,7.37,B,C,B,B+,B+,A,B+,A,C,6.31,B,C,C,A+,C,C,B+,A+,B+,8.64,A+,C,C,C,B,B+,C+,B+,C,C+,6.73,A+,B+,B,B+,A+,B,B,8.24,B,C,B,A,B,B,B+,B,B,7.71,,A
Student_42,81.45,71.48,B+,A,C+,B,C,A,B+,C+,C+,B+,8.79,C+,A,B+,C,C,A,C,C+,C+,8.09,A,A+,C+,A+,A+,B,A,C,C+,6.53,A,B,C+,A,C,C,C,A,B+,B,6.36,B,A+,B,C+,C,C+,A+,7.89,B,A+,B+,A,B,A,A+,A,C,8.13,,C+
Student_43,72.61,90.73,B,A+,B+,C,B+,B+,C+,C+,C+,A,8.66,A+,C,B+,A,C+,A,B,B+,C,9.6,C,B+,B,A+,B,C+,C+,A+,B,6.28,B,C+,C+,A+,C+,B+,C,B+,B+,B+,7.93,A+,A,A+,B+,C,C+,B+,8.77,C,B+,C+,A,C+,B,C+,B+,C,8.52,,B+
Student_44,94.95,68.09,C,C,C+,B,C,B,B,A+,C+,B+,6.08,A,C,A,A,C,A+,C+,B+,B,8.85,C+,B,B,C,B,B+,A+,C+,C,9.33,C+,C+,B,B+,C,B,B,B,B,A+,9.07,A,B,A,B+,A+,C,A+,9.09,C,A+,B,C,A+,C,A+,A+,A+,8.59,,B+
